Description: 
CoreID: M-2-5
ExptDate: April 19, 2016
 19/04/2016 16:25:24    356     54
    Time     PoolTave    LinearP1    LinearP2    LogPower     Period     SUCRate     PoolTin     CnUpFlow    CnUpCond    PoolTout    N16Power    HdupCond    PriFlow     SecFlow     CnUpTemp    HEPrTout    HEPrDelP    HEPrTin     HEScTin     HEScDelP    HEScTout    PMkUpPmp    CnUpPump    PriPump     SecPump     CoreTout    CoreTin     PowerCal     CnUpPH     PCal*100     Fans        Fan#2      BL#1Pos     BL#2Pos     BL#3Pos     BL#4Pos     RRodPos      SUCPos      RRauto     PumpRmTA    RHinside    TAinside      Fans      Fan#2fix    TAoutsid     SumpT      SumpTIn     SMkUpFlw    MFDCurr      MFDPos     P1MagAdj    P2MagAdj    LPwrComb  
     0.00    7.143e+01   5.094e+01   4.991e+01   4.740e-01  -9.990e+02   5.217e+04   7.210e+01   2.620e+01   1.950e-01   7.189e+01   1.058e+00   2.351e+00   1.690e+03   1.227e+02   0.000e+00   7.217e+01   2.536e+01   7.188e+01   7.050e+01  -1.200e-02   7.049e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.652e+00   6.296e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   6.998e+01   0.000e+00   0.000e+00   4.357e+01   9.371e+00   0.000e+00   1.971e+01   0.000e+00  -7.871e+02   5.094e-01   4.991e-01   5.043e-01
     1.00    7.143e+01   5.094e+01   4.991e+01   4.740e-01  -9.990e+02   5.217e+04   7.210e+01   2.620e+01   1.950e-01   7.189e+01   1.058e+00   2.351e+00   1.690e+03   1.227e+02   0.000e+00   7.217e+01   2.536e+01   7.188e+01   7.050e+01  -1.200e-02   7.049e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.652e+00   6.296e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   6.998e+01   0.000e+00   0.000e+00   4.357e+01   9.371e+00   0.000e+00   1.971e+01   0.000e+00  -7.871e+02   5.094e-01   4.991e-01   5.043e-01
     2.00    7.141e+01   5.102e+01   4.997e+01   4.760e-01  -9.990e+02   5.019e+04   7.212e+01   2.620e+01   1.890e-01   7.191e+01   1.088e+00   2.353e+00   1.691e+03   1.104e+02   0.000e+00   7.216e+01   2.542e+01   7.189e+01   7.053e+01  -3.000e-03   7.050e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.643e+00   6.296e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   6.999e+01   0.000e+00   0.000e+00   4.361e+01   9.412e+00   0.000e+00   1.971e+01   0.000e+00  -7.871e+02   5.102e-01   4.997e-01   5.050e-01
     3.00    7.146e+01   5.098e+01   4.997e+01   4.700e-01  -9.990e+02   5.023e+04   7.208e+01   2.620e+01   1.980e-01   7.188e+01   1.088e+00   2.351e+00   1.699e+03   1.308e+02   0.000e+00   7.217e+01   2.525e+01   7.188e+01   7.052e+01   9.000e-03   7.045e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.625e+00   6.297e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   6.998e+01   0.000e+00   0.000e+00   4.362e+01   9.166e+00   0.000e+00   1.971e+01   0.000e+00  -7.871e+02   5.098e-01   4.997e-01   5.047e-01
     4.00    7.146e+01   5.098e+01   4.997e+01   4.700e-01  -9.990e+02   5.023e+04   7.208e+01   2.620e+01   2.050e-01   7.188e+01   1.088e+00   2.351e+00   1.699e+03   1.308e+02   0.000e+00   7.217e+01   2.525e+01   7.188e+01   7.052e+01   9.000e-03   7.045e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.612e+00   6.297e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   6.998e+01   0.000e+00   0.000e+00   4.359e+01   9.085e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.098e-01   4.997e-01   5.047e-01
     5.00    7.139e+01   5.093e+01   4.992e+01   4.700e-01  -9.990e+02   5.129e+04   7.210e+01   2.619e+01   2.010e-01   7.190e+01   1.108e+00   2.351e+00   1.700e+03   1.112e+02   0.000e+00   7.216e+01   2.527e+01   7.189e+01   7.045e+01   1.200e-02   7.044e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.640e+00   6.299e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -9.500e-02   6.999e+01   0.000e+00   0.000e+00   4.359e+01   9.126e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.093e-01   4.992e-01   5.043e-01
     6.00    7.143e+01   5.072e+01   4.993e+01   4.690e-01  -9.990e+02   5.195e+04   7.207e+01   2.620e+01   1.910e-01   7.190e+01   1.128e+00   2.351e+00   1.696e+03   1.104e+02   0.000e+00   7.206e+01   2.513e+01   7.200e+01   7.042e+01  -9.000e-03   7.045e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.657e+00   6.299e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -9.500e-02   6.999e+01   0.000e+00   0.000e+00   4.361e+01   9.085e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.072e-01   4.993e-01   5.033e-01
     7.00    7.141e+01   5.083e+01   4.997e+01   4.750e-01  -9.990e+02   5.277e+04   7.208e+01   2.620e+01   1.770e-01   7.186e+01   1.148e+00   2.352e+00   1.696e+03   1.265e+02   0.000e+00   7.221e+01   2.485e+01   7.198e+01   7.046e+01   0.000e+00   7.044e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.636e+00   6.300e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -9.500e-02   6.999e+01   0.000e+00   0.000e+00   4.363e+01   9.126e+00   0.000e+00   1.971e+01   0.000e+00  -7.871e+02   5.083e-01   4.997e-01   5.040e-01
     8.00    7.141e+01   5.091e+01   5.015e+01   4.780e-01  -9.990e+02   4.943e+04   7.211e+01   2.619e+01   1.830e-01   7.189e+01   1.138e+00   2.353e+00   1.702e+03   1.112e+02   0.000e+00   7.212e+01   2.516e+01   7.187e+01   7.047e+01   9.000e-03   7.042e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.617e+00   6.301e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   6.999e+01   0.000e+00   0.000e+00   4.359e+01   9.044e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.091e-01   5.015e-01   5.053e-01
     9.00    7.144e+01   5.094e+01   5.013e+01   4.710e-01  -9.990e+02   4.952e+04   7.208e+01   2.620e+01   1.890e-01   7.190e+01   1.168e+00   2.352e+00   1.689e+03   1.201e+02   0.000e+00   7.207e+01   2.498e+01   7.191e+01   7.056e+01   0.000e+00   7.049e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.662e+00   6.301e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   6.999e+01   0.000e+00   0.000e+00   4.362e+01   9.085e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.094e-01   5.013e-01   5.053e-01
    10.00    7.147e+01   5.102e+01   5.003e+01   4.780e-01  -9.990e+02   4.806e+04   7.210e+01   2.620e+01   1.930e-01   7.189e+01   1.148e+00   2.354e+00   1.700e+03   1.104e+02   0.000e+00   7.202e+01   2.534e+01   7.188e+01   7.055e+01   9.000e-03   7.059e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.646e+00   6.301e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   7.000e+01   0.000e+00   0.000e+00   4.361e+01   9.003e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.102e-01   5.003e-01   5.053e-01
    11.00    7.142e+01   5.099e+01   4.996e+01   4.760e-01  -9.990e+02   5.126e+04   7.209e+01   2.620e+01   1.910e-01   7.187e+01   1.128e+00   2.351e+00   1.690e+03   1.119e+02   0.000e+00   7.218e+01   2.477e+01   7.194e+01   7.056e+01  -1.600e-02   7.051e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.611e+00   6.299e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -9.500e-02   6.999e+01   0.000e+00   0.000e+00   4.356e+01   9.126e+00   0.000e+00   1.969e+01   0.000e+00  -7.871e+02   5.100e-01   4.996e-01   5.048e-01
    12.00    7.146e+01   5.102e+01   5.001e+01   4.780e-01  -9.990e+02   5.188e+04   7.207e+01   2.620e+01   1.820e-01   7.193e+01   1.128e+00   2.353e+00   1.687e+03   1.290e+02   0.000e+00   7.217e+01   2.535e+01   7.195e+01   7.056e+01  -1.600e-02   7.051e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.620e+00   6.301e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   7.000e+01   0.000e+00   0.000e+00   4.362e+01   9.044e+00   0.000e+00   1.972e+01   0.000e+00  -7.871e+02   5.102e-01   5.000e-01   5.051e-01
    13.00    7.144e+01   5.110e+01   5.013e+01   4.720e-01  -9.990e+02   4.773e+04   7.207e+01   2.620e+01   1.750e-01   7.188e+01   1.128e+00   2.353e+00   1.695e+03   1.126e+02   0.000e+00   7.217e+01   2.512e+01   7.197e+01   7.060e+01  -1.200e-02   7.040e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.670e+00   6.300e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -9.500e-02   6.999e+01   0.000e+00   0.000e+00   4.362e+01   9.126e+00   0.000e+00   1.972e+01   0.000e+00  -7.871e+02   5.110e-01   5.013e-01   5.062e-01
    14.00    7.146e+01   5.111e+01   5.024e+01   4.790e-01  -9.990e+02   4.862e+04   7.207e+01   2.620e+01   1.750e-01   7.191e+01   1.128e+00   2.351e+00   1.689e+03   1.112e+02   0.000e+00   7.216e+01   2.507e+01   7.197e+01   7.057e+01   1.600e-02   7.045e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.670e+00   6.299e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   6.999e+01   0.000e+00   0.000e+00   4.362e+01   9.126e+00   0.000e+00   1.972e+01   0.000e+00  -7.871e+02   5.111e-01   5.024e-01   5.068e-01
    15.00    7.146e+01   5.111e+01   5.024e+01   4.790e-01  -9.990e+02   4.862e+04   7.207e+01   2.620e+01   1.700e-01   7.191e+01   1.128e+00   2.351e+00   1.689e+03   1.112e+02   0.000e+00   7.216e+01   2.507e+01   7.197e+01   7.057e+01   1.600e-02   7.045e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.608e+00   6.299e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   6.999e+01   0.000e+00   0.000e+00   4.359e+01   9.248e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.111e-01   5.024e-01   5.068e-01
    16.00    7.143e+01   5.099e+01   5.018e+01   4.780e-01  -9.990e+02   4.927e+04   7.210e+01   2.620e+01   1.660e-01   7.190e+01   1.138e+00   2.354e+00   1.697e+03   1.104e+02   0.000e+00   7.217e+01   2.512e+01   7.198e+01   7.055e+01  -2.500e-02   7.045e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.673e+00   6.299e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   7.000e+01   0.000e+00   0.000e+00   4.363e+01   9.248e+00   0.000e+00   1.971e+01   0.000e+00  -7.871e+02   5.099e-01   5.018e-01   5.059e-01
    17.00    7.145e+01   5.113e+01   5.024e+01   4.710e-01  -9.990e+02   5.164e+04   7.206e+01   2.620e+01   1.750e-01   7.190e+01   1.098e+00   2.354e+00   1.694e+03   1.112e+02   0.000e+00   7.216e+01   2.526e+01   7.198e+01   7.056e+01   1.900e-02   7.047e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.673e+00   6.298e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   6.999e+01   0.000e+00   0.000e+00   4.363e+01   9.248e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.112e-01   5.024e-01   5.068e-01
    18.00    7.142e+01   5.113e+01   5.013e+01   4.770e-01  -9.990e+02   5.026e+04   7.207e+01   2.620e+01   1.630e-01   7.190e+01   1.108e+00   2.352e+00   1.693e+03   1.326e+02   0.000e+00   7.217e+01   2.529e+01   7.186e+01   7.043e+01  -1.600e-02   7.048e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.608e+00   6.297e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   7.000e+01   0.000e+00   0.000e+00   4.360e+01   9.248e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.113e-01   5.013e-01   5.063e-01
    19.00    7.146e+01   5.101e+01   5.023e+01   4.790e-01  -9.990e+02   4.996e+04   7.209e+01   2.620e+01   1.650e-01   7.193e+01   1.118e+00   2.351e+00   1.691e+03   1.240e+02   0.000e+00   7.216e+01   2.512e+01   7.196e+01   7.045e+01  -1.200e-02   7.040e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.657e+00   6.296e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -9.500e-02   7.000e+01   0.000e+00   0.000e+00   4.362e+01   9.289e+00   0.000e+00   1.971e+01   0.000e+00  -7.871e+02   5.101e-01   5.023e-01   5.062e-01
    20.00    7.142e+01   5.113e+01   5.027e+01   4.790e-01  -9.990e+02   5.030e+04   7.208e+01   2.620e+01   1.610e-01   7.190e+01   1.068e+00   2.354e+00   1.692e+03   1.207e+02   0.000e+00   7.216e+01   2.535e+01   7.189e+01   7.053e+01   1.900e-02   7.045e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.669e+00   6.296e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -9.500e-02   7.000e+01   0.000e+00   0.000e+00   4.361e+01   9.330e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.113e-01   5.027e-01   5.070e-01
    21.00    7.148e+01   5.112e+01   5.017e+01   4.710e-01  -9.990e+02   4.975e+04   7.205e+01   2.619e+01   1.580e-01   7.190e+01   1.078e+00   2.351e+00   1.690e+03   1.104e+02   0.000e+00   7.213e+01   2.519e+01   7.189e+01   7.045e+01  -2.800e-02   7.047e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.672e+00   6.297e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   6.999e+01   0.000e+00   0.000e+00   4.363e+01   9.412e+00   0.000e+00   1.972e+01   0.000e+00  -7.871e+02   5.112e-01   5.017e-01   5.064e-01
    22.00    7.144e+01   5.113e+01   5.029e+01   4.710e-01  -9.990e+02   5.210e+04   7.204e+01   2.620e+01   1.610e-01   7.190e+01   1.058e+00   2.353e+00   1.698e+03   1.332e+02   0.000e+00   7.210e+01   2.518e+01   7.189e+01   7.056e+01   2.200e-02   7.044e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.611e+00   6.294e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -9.500e-02   6.999e+01   0.000e+00   0.000e+00   4.362e+01   9.371e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.113e-01   5.029e-01   5.071e-01
    23.00    7.144e+01   5.113e+01   5.029e+01   4.710e-01  -9.990e+02   5.210e+04   7.204e+01   2.620e+01   1.670e-01   7.190e+01   1.058e+00   2.353e+00   1.698e+03   1.332e+02   0.000e+00   7.210e+01   2.518e+01   7.189e+01   7.056e+01   2.200e-02   7.044e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.646e+00   6.294e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -9.500e-02   6.999e+01   0.000e+00   0.000e+00   4.362e+01   9.289e+00   0.000e+00   1.971e+01   0.000e+00  -7.871e+02   5.113e-01   5.029e-01   5.071e-01
    24.00    7.146e+01   5.093e+01   5.017e+01   4.780e-01  -9.990e+02   5.040e+04   7.206e+01   2.620e+01   1.670e-01   7.190e+01   1.058e+00   2.351e+00   1.697e+03   1.181e+02   0.000e+00   7.218e+01   2.523e+01   7.195e+01   7.055e+01  -2.500e-02   7.047e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.652e+00   6.297e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -9.500e-02   6.999e+01   0.000e+00   0.000e+00   4.360e+01   9.126e+00   0.000e+00   1.971e+01   0.000e+00  -7.871e+02   5.093e-01   5.017e-01   5.055e-01
    25.00    7.148e+01   5.103e+01   5.002e+01   4.730e-01  -9.990e+02   4.869e+04   7.205e+01   2.619e+01   1.650e-01   7.187e+01   1.078e+00   2.353e+00   1.700e+03   1.140e+02   0.000e+00   7.218e+01   2.533e+01   7.191e+01   7.056e+01  -1.900e-02   7.050e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.632e+00   6.297e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -9.500e-02   7.002e+01   0.000e+00   0.000e+00   4.359e+01   9.126e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.103e-01   5.002e-01   5.053e-01
    26.00    7.144e+01   5.103e+01   5.008e+01   4.780e-01  -9.990e+02   4.911e+04   7.204e+01   2.620e+01   1.770e-01   7.188e+01   1.088e+00   2.354e+00   1.701e+03   1.194e+02   0.000e+00   7.218e+01   2.510e+01   7.191e+01   7.056e+01  -9.000e-03   7.041e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.621e+00   6.298e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   6.999e+01   0.000e+00   0.000e+00   4.363e+01   9.126e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.103e-01   5.008e-01   5.056e-01
    27.00    7.142e+01   5.101e+01   5.005e+01   4.710e-01  -9.990e+02   5.263e+04   7.207e+01   2.620e+01   1.880e-01   7.187e+01   1.098e+00   2.351e+00   1.696e+03   1.201e+02   0.000e+00   7.216e+01   2.495e+01   7.191e+01   7.055e+01   1.900e-02   7.044e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.635e+00   6.301e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   6.999e+01   0.000e+00   0.000e+00   4.364e+01   9.085e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.101e-01   5.005e-01   5.053e-01
    28.00    7.142e+01   5.101e+01   5.005e+01   4.710e-01  -9.990e+02   5.263e+04   7.207e+01   2.620e+01   1.950e-01   7.187e+01   1.098e+00   2.351e+00   1.696e+03   1.201e+02   0.000e+00   7.216e+01   2.495e+01   7.191e+01   7.055e+01   1.900e-02   7.044e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.650e+00   6.301e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   6.999e+01   0.000e+00   0.000e+00   4.359e+01   9.166e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.101e-01   5.005e-01   5.053e-01
    29.00    7.147e+01   5.104e+01   5.015e+01   4.700e-01  -9.990e+02   5.234e+04   7.207e+01   2.619e+01   1.940e-01   7.190e+01   1.098e+00   2.354e+00   1.687e+03   1.314e+02   0.000e+00   7.218e+01   2.492e+01   7.190e+01   7.048e+01  -1.900e-02   7.041e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.646e+00   6.300e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   6.998e+01   0.000e+00   0.000e+00   4.359e+01   9.207e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.104e-01   5.015e-01   5.060e-01
    30.00    7.143e+01   5.109e+01   5.023e+01   4.780e-01  -9.990e+02   4.973e+04   7.207e+01   2.620e+01   2.080e-01   7.190e+01   1.048e+00   2.354e+00   1.698e+03   1.104e+02   0.000e+00   7.214e+01   2.547e+01   7.188e+01   7.055e+01  -2.500e-02   7.048e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.188e+01   0.000e+00   6.614e+00   6.300e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.063e+01   0.000e+00   1.000e+00  -3.277e+04  -9.500e-02   6.998e+01   0.000e+00   0.000e+00   4.363e+01   9.330e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.109e-01   5.023e-01   5.066e-01
