Description: 
CoreID: M-2-5
ExptDate: April 19, 2016
 19/04/2016 16:17:24    254     54
    Time     PoolTave    LinearP1    LinearP2    LogPower     Period     SUCRate     PoolTin     CnUpFlow    CnUpCond    PoolTout    N16Power    HdupCond    PriFlow     SecFlow     CnUpTemp    HEPrTout    HEPrDelP    HEPrTin     HEScTin     HEScDelP    HEScTout    PMkUpPmp    CnUpPump    PriPump     SecPump     CoreTout    CoreTin     PowerCal     CnUpPH     PCal*100     Fans        Fan#2      BL#1Pos     BL#2Pos     BL#3Pos     BL#4Pos     RRodPos      SUCPos      RRauto     PumpRmTA    RHinside    TAinside      Fans      Fan#2fix    TAoutsid     SumpT      SumpTIn     SMkUpFlw    MFDCurr      MFDPos     P1MagAdj    P2MagAdj    LPwrComb  
     0.00    7.139e+01   5.254e+01   4.979e+01   4.700e-02  -9.990e+02   4.952e+04   7.202e+01   2.619e+01   1.890e-01   7.182e+01   9.380e-01   2.351e+00   1.698e+03   1.246e+02   0.000e+00   7.216e+01   2.546e+01   7.190e+01   7.045e+01  -1.200e-02   7.037e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.224e+01   7.184e+01   0.000e+00   6.601e+00   9.763e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.041e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   7.044e+01   0.000e+00   0.000e+00   4.354e+01   9.289e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.254e-02   4.979e-02   5.116e-02
     1.00    7.139e+01   5.254e+01   4.979e+01   4.700e-02  -9.990e+02   4.952e+04   7.202e+01   2.619e+01   1.890e-01   7.182e+01   9.380e-01   2.351e+00   1.698e+03   1.246e+02   0.000e+00   7.216e+01   2.546e+01   7.190e+01   7.045e+01  -1.200e-02   7.037e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.224e+01   7.184e+01   0.000e+00   6.601e+00   9.763e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.041e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   7.044e+01   0.000e+00   0.000e+00   4.354e+01   9.289e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.254e-02   4.979e-02   5.116e-02
     2.00    7.138e+01   5.234e+01   4.988e+01   4.700e-02  -9.990e+02   5.183e+04   7.205e+01   2.620e+01   1.930e-01   7.179e+01   9.680e-01   2.351e+00   1.699e+03   1.326e+02   0.000e+00   7.216e+01   2.553e+01   7.203e+01   7.046e+01   2.200e-02   7.029e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.224e+01   7.184e+01   0.000e+00   6.666e+00   9.764e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.041e+01   0.000e+00   0.000e+00  -3.277e+04  -1.000e-01   7.044e+01   0.000e+00   0.000e+00   4.356e+01   9.248e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.234e-02   4.988e-02   5.111e-02
     3.00    7.141e+01   5.252e+01   4.977e+01   4.700e-02  -9.990e+02   4.975e+04   7.206e+01   2.620e+01   2.170e-01   7.181e+01   9.580e-01   2.353e+00   1.699e+03   1.160e+02   0.000e+00   7.209e+01   2.518e+01   7.187e+01   7.046e+01   9.000e-03   7.033e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.224e+01   7.184e+01   0.000e+00   6.617e+00   9.763e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.041e+01   0.000e+00   0.000e+00  -3.277e+04  -9.500e-02   7.044e+01   0.000e+00   0.000e+00   4.351e+01   9.248e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.252e-02   4.977e-02   5.115e-02
     4.00    7.141e+01   5.252e+01   4.972e+01   4.700e-02  -9.990e+02   5.012e+04   7.202e+01   2.619e+01   2.080e-01   7.182e+01   9.880e-01   2.353e+00   1.698e+03   1.277e+02   0.000e+00   7.215e+01   2.536e+01   7.186e+01   7.046e+01   6.000e-03   7.036e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.224e+01   7.184e+01   0.000e+00   6.631e+00   9.764e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.041e+01   0.000e+00   0.000e+00  -3.277e+04  -1.000e-01   7.044e+01   0.000e+00   0.000e+00   4.355e+01   9.248e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.252e-02   4.972e-02   5.112e-02
     5.00    7.140e+01   5.248e+01   4.980e+01   4.700e-02  -9.990e+02   5.465e+04   7.204e+01   2.620e+01   1.930e-01   7.178e+01   1.038e+00   2.353e+00   1.695e+03   1.252e+02   0.000e+00   7.216e+01   2.535e+01   7.188e+01   7.043e+01   3.000e-03   7.030e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.224e+01   7.184e+01   0.000e+00   6.650e+00   9.766e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.041e+01   0.000e+00   0.000e+00  -3.277e+04  -1.000e-01   7.042e+01   0.000e+00   0.000e+00   4.351e+01   9.248e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.248e-02   4.980e-02   5.114e-02
     6.00    7.141e+01   5.244e+01   4.963e+01   4.800e-02  -9.990e+02   5.070e+04   7.205e+01   2.620e+01   1.820e-01   7.184e+01   1.028e+00   2.352e+00   1.696e+03   1.308e+02   0.000e+00   7.214e+01   2.514e+01   7.188e+01   7.044e+01  -2.200e-02   7.035e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.224e+01   7.184e+01   0.000e+00   6.603e+00   9.767e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.041e+01   0.000e+00   0.000e+00  -3.277e+04  -1.000e-01   7.043e+01   0.000e+00   0.000e+00   4.351e+01   9.207e+00   0.000e+00   1.972e+01   0.000e+00  -7.871e+02   5.244e-02   4.963e-02   5.104e-02
     7.00    7.140e+01   5.250e+01   4.960e+01   4.700e-02  -9.990e+02   4.727e+04   7.202e+01   2.620e+01   1.790e-01   7.180e+01   9.980e-01   2.354e+00   1.687e+03   1.240e+02   0.000e+00   7.203e+01   2.511e+01   7.196e+01   7.045e+01   9.000e-03   7.038e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.224e+01   7.184e+01   0.000e+00   6.608e+00   9.762e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.041e+01   0.000e+00   0.000e+00  -3.277e+04  -1.000e-01   7.042e+01   0.000e+00   0.000e+00   4.351e+01   9.289e+00   0.000e+00   1.972e+01   0.000e+00  -7.871e+02   5.250e-02   4.960e-02   5.105e-02
     8.00    7.137e+01   5.250e+01   4.978e+01   4.700e-02  -9.990e+02   4.777e+04   7.203e+01   2.619e+01   1.790e-01   7.182e+01   1.018e+00   2.351e+00   1.694e+03   1.284e+02   0.000e+00   7.213e+01   2.505e+01   7.189e+01   7.045e+01   0.000e+00   7.039e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.224e+01   7.184e+01   0.000e+00   6.667e+00   9.760e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.041e+01   0.000e+00   0.000e+00  -3.277e+04  -9.500e-02   7.042e+01   0.000e+00   0.000e+00   4.351e+01   9.412e+00   0.000e+00   1.971e+01   0.000e+00  -7.871e+02   5.250e-02   4.978e-02   5.114e-02
     9.00    7.137e+01   5.250e+01   4.978e+01   4.700e-02  -9.990e+02   4.777e+04   7.203e+01   2.620e+01   1.790e-01   7.182e+01   1.018e+00   2.351e+00   1.694e+03   1.284e+02   0.000e+00   7.213e+01   2.505e+01   7.189e+01   7.045e+01   0.000e+00   7.039e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.224e+01   7.184e+01   0.000e+00   6.657e+00   9.760e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.119e+01   0.000e+00   0.000e+00  -3.277e+04  -9.500e-02   7.042e+01   0.000e+00   0.000e+00   4.351e+01   9.289e+00   0.000e+00   1.971e+01   0.000e+00  -7.871e+02   5.250e-02   4.978e-02   5.114e-02
