Description: 
CoreID: M-2-5
ExptDate: April 19, 2016
 19/04/2016 16:57:24    656     54
    Time     PoolTave    LinearP1    LinearP2    LogPower     Period     SUCRate     PoolTin     CnUpFlow    CnUpCond    PoolTout    N16Power    HdupCond    PriFlow     SecFlow     CnUpTemp    HEPrTout    HEPrDelP    HEPrTin     HEScTin     HEScDelP    HEScTout    PMkUpPmp    CnUpPump    PriPump     SecPump     CoreTout    CoreTin     PowerCal     CnUpPH     PCal*100     Fans        Fan#2      BL#1Pos     BL#2Pos     BL#3Pos     BL#4Pos     RRodPos      SUCPos      RRauto     PumpRmTA    RHinside    TAinside      Fans      Fan#2fix    TAoutsid     SumpT      SumpTIn     SMkUpFlw    MFDCurr      MFDPos     P1MagAdj    P2MagAdj    LPwrComb  
     0.00    7.148e+01   1.127e+01   1.203e+01   1.000e-03  -9.990e+02   4.198e+01   7.213e+01   2.620e+01   1.530e-01   7.191e+01   1.028e+00   2.301e+00   1.694e+03   1.326e+02   0.000e+00   7.219e+01   2.519e+01   7.197e+01   7.075e+01  -1.600e-02   7.069e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.231e+01   7.195e+01   0.000e+00   6.639e+00   8.689e+00   0.000e+00   0.000e+00  -2.000e-03   1.695e+01   1.695e+01   1.695e+01   1.103e+01   0.000e+00   0.000e+00  -3.277e+04  -1.000e-01   7.058e+01   0.000e+00   0.000e+00   4.579e+01   9.453e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   1.127e-03   1.203e-03   1.165e-03
     1.00    7.148e+01   1.127e+01   1.203e+01   1.000e-03  -9.990e+02   4.198e+01   7.213e+01   2.620e+01   1.530e-01   7.191e+01   1.028e+00   2.301e+00   1.694e+03   1.326e+02   0.000e+00   7.219e+01   2.519e+01   7.197e+01   7.075e+01  -1.600e-02   7.069e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.231e+01   7.195e+01   0.000e+00   6.639e+00   8.689e+00   0.000e+00   0.000e+00  -2.000e-03   1.695e+01   1.695e+01   1.695e+01   1.103e+01   0.000e+00   0.000e+00  -3.277e+04  -1.000e-01   7.058e+01   0.000e+00   0.000e+00   4.579e+01   9.453e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   1.127e-03   1.203e-03   1.165e-03
     2.00    7.148e+01   1.127e+01   1.203e+01   1.000e-03  -9.990e+02   4.198e+01   7.213e+01   2.620e+01   1.530e-01   7.191e+01   1.028e+00   2.301e+00   1.694e+03   1.326e+02   0.000e+00   7.219e+01   2.519e+01   7.197e+01   7.075e+01  -1.600e-02   7.069e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.231e+01   7.195e+01   0.000e+00   6.639e+00   8.689e+00   0.000e+00   0.000e+00  -2.000e-03   1.695e+01   1.695e+01   1.695e+01   1.103e+01   0.000e+00   0.000e+00  -3.277e+04  -1.000e-01   7.058e+01   0.000e+00   0.000e+00   4.579e+01   9.453e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   1.127e-03   1.203e-03   1.165e-03
     3.00    7.151e+01   1.139e+01   1.188e+01   1.000e-03  -9.990e+02   3.830e+01   7.210e+01   2.620e+01   1.630e-01   7.188e+01   1.038e+00   2.299e+00   1.692e+03   1.214e+02   0.000e+00   7.212e+01   2.547e+01   7.198e+01   7.075e+01  -2.500e-02   7.070e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.231e+01   7.205e+01   0.000e+00   6.706e+00   8.637e+00   0.000e+00   0.000e+00  -2.000e-03   1.695e+01   1.695e+01   1.695e+01   1.103e+01   0.000e+00   0.000e+00  -3.277e+04  -1.000e-01   7.057e+01   0.000e+00   0.000e+00   4.582e+01   9.453e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   1.139e-03   1.188e-03   1.164e-03
     4.00    7.151e+01   1.134e+01   1.223e+01   1.000e-03  -9.990e+02   3.426e+01   7.213e+01   2.620e+01   1.740e-01   7.186e+01   1.028e+00   2.299e+00   1.696e+03   1.201e+02   0.000e+00   7.227e+01   2.498e+01   7.197e+01   7.074e+01  -6.000e-03   7.077e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.231e+01   7.195e+01   0.000e+00   6.652e+00   8.588e+00   0.000e+00   0.000e+00  -2.000e-03   1.695e+01   1.695e+01   1.695e+01   1.103e+01   0.000e+00   0.000e+00  -3.277e+04  -1.000e-01   7.056e+01   0.000e+00   0.000e+00   4.581e+01   9.453e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   1.134e-03   1.223e-03   1.179e-03
     5.00    7.150e+01   1.133e+01   1.188e+01   1.000e-03  -9.990e+02   4.395e+01   7.214e+01   2.620e+01   1.770e-01   7.189e+01   1.028e+00   2.299e+00   1.689e+03   1.227e+02   0.000e+00   7.230e+01   2.521e+01   7.198e+01   7.075e+01  -4.700e-02   7.071e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.231e+01   7.195e+01   0.000e+00   6.646e+00   8.536e+00   0.000e+00   0.000e+00  -2.000e-03   1.695e+01   1.695e+01   1.695e+01   1.103e+01   0.000e+00   0.000e+00  -3.277e+04  -1.000e-01   7.056e+01   0.000e+00   0.000e+00   4.578e+01   9.453e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   1.133e-03   1.188e-03   1.161e-03
     6.00    7.150e+01   1.125e+01   1.195e+01   1.000e-03  -9.990e+02   4.531e+01   7.211e+01   2.620e+01   1.810e-01   7.189e+01   1.078e+00   2.302e+00   1.698e+03   1.187e+02   0.000e+00   7.228e+01   2.522e+01   7.199e+01   7.075e+01  -1.600e-02   7.072e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.231e+01   7.195e+01   0.000e+00   6.690e+00   8.535e+00   0.000e+00   0.000e+00  -2.000e-03   1.695e+01   1.695e+01   1.695e+01   1.103e+01   0.000e+00   0.000e+00  -3.277e+04  -1.000e-01   7.054e+01   0.000e+00   0.000e+00   4.580e+01   9.412e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   1.125e-03   1.195e-03   1.160e-03
     7.00    7.153e+01   1.127e+01   1.216e+01   1.000e-03  -9.990e+02   6.433e+01   7.215e+01   2.620e+01   1.820e-01   7.188e+01   1.088e+00   2.299e+00   1.688e+03   1.296e+02   0.000e+00   7.216e+01   2.530e+01   7.195e+01   7.075e+01  -5.300e-02   7.072e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.231e+01   7.195e+01   0.000e+00   6.682e+00   8.536e+00   0.000e+00   0.000e+00  -2.000e-03   1.695e+01   1.695e+01   1.695e+01   1.103e+01   0.000e+00   0.000e+00  -3.277e+04  -1.000e-01   7.055e+01   0.000e+00   0.000e+00   4.582e+01   9.453e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   1.127e-03   1.216e-03   1.171e-03
     8.00    7.152e+01   1.124e+01   1.193e+01   1.000e-03  -9.990e+02   4.375e+01   7.213e+01   2.620e+01   1.960e-01   7.188e+01   1.068e+00   2.302e+00   1.696e+03   1.097e+02   0.000e+00   7.226e+01   2.507e+01   7.199e+01   7.081e+01  -3.000e-03   7.069e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.231e+01   7.195e+01   0.000e+00   6.665e+00   8.535e+00   0.000e+00   0.000e+00  -2.000e-03   1.695e+01   1.695e+01   1.695e+01   1.103e+01   0.000e+00   0.000e+00  -3.277e+04  -1.000e-01   7.055e+01   0.000e+00   0.000e+00   4.581e+01   9.412e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   1.124e-03   1.193e-03   1.159e-03
     9.00    7.153e+01   1.131e+01   1.185e+01   1.000e-03  -9.990e+02   4.250e+01   7.215e+01   2.620e+01   2.190e-01   7.190e+01   1.078e+00   2.301e+00   1.693e+03   1.214e+02   0.000e+00   7.226e+01   2.537e+01   7.197e+01   7.078e+01  -4.400e-02   7.075e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.231e+01   7.205e+01   0.000e+00   6.659e+00   8.432e+00   0.000e+00   0.000e+00  -2.000e-03   1.695e+01   1.695e+01   1.695e+01   1.103e+01   0.000e+00   0.000e+00  -3.277e+04  -1.000e-01   7.054e+01   0.000e+00   0.000e+00   4.578e+01   9.453e+00   0.000e+00   1.972e+01   0.000e+00  -7.871e+02   1.131e-03   1.185e-03   1.158e-03
